0,first_name,last_name,email,department,salary,joining_date,age,,,,,,department,1,,1,,,
1,Joshua,Ramos,alexandra29@gmail.com,Operations,65313.8,23-05-2024,60,,,,,,Operations,189,,189,,0,
2,Christina,Clark,littlekyle@yahoo.com,IT,58827.32,02-10-2021,60,,,,,,IT,204,,204,,,
3,Jonathon,Sullivan,tannerivan@johnson.com,Operations,57427.31,30-04-2020,60,,,Row Labels,Sum of salary,,HR,205,,205,,,
4,adi,Aguirre,jamieortega@yahoo.com,HR,45352.74,04-04-2021,60,,,Finance,865293.82,,Finance,208,,208,,,
5,Veronica,Weber,trevinosteven@ramos.com,Operations,78772.56,06-10-2020,60,,,HR,774994.4,,Marketing,190,,190,,,
6,Louis,Rivera,parksamy@gmail.com,Finance,30448.72,05-05-2020,60,,,IT,780312.76,,,,,0,,,
7,Sabrina,Gonzalez,rwillis@mason-clark.biz,Marketing,88476.72,15-10-2020,60,,,Marketing,415890.48,,,,,,,,
8,Jillian,Lewis,sreese@mclean-baker.net,Marketing,49895.55,08-06-2021,60,,,Operations,480516.75,,,,,,,,
9,Caroline,Kennedy,inguyen@huynh.com,Finance,88878.64,17-07-2024,60,,,Grand Total,3317008.21,,,,,,,,
10,Adam,Sanchez,luisclark@hotmail.com,HR,88331.24,23-03-2020,60,,,,,,,,,,,,
11,Sara,Miller,tmoore@warren-lewis.org,Marketing,68588.45,21-07-2020,60,,,,,,department,first_name,Joshua,Christina,Jonathon,adi,Veronica
12,Hannah,Carrillo,dianeroberts@becker.com,Operations,82047.41,13-05-2024,60,,,,,,Operations,0,1,0,1,0,1
13,Elizabeth,Johnson,ramirezbriana@hotmail.com,IT,83585.45,11-12-2023,60,,,,,,IT,0,0,1,0,0,0
14,Victor,Lamb,michellebrown@finley.com,Finance,55038.09,29-10-2024,60,,,,,,HR,0,2,0,1,1,0
15,Tammy,Collins,cherylbanks@gmail.com,HR,39382.83,12-03-2021,60,,,,,,Finance,0,4,2,0,0,0
16,Miranda,Mcmahon,bonillamatthew@yahoo.com,Operations,41564.15,20-04-2021,60,,,,,,Marketing,0,1,1,0,0,0
17,Carla,Melton,nicholas84@johnson-phillips.com,Finance,41986.9,08-11-2024,60,,,,,,,,,,,,
18,Robert,Sullivan,millerallison@hotmail.com,Finance,72896.95,09-06-2024,60,,,,,,,,,,,,
19,Jessica,Williams,royrandy@kelly.com,Operations,98452.12,02-07-2020,60,,,,,,,,,,,,
20,Kristina,Rivera,fbrooks@martin-blair.com,IT,85703.19,18-12-2022,60,,,,15-06-2026,,,,,,,,
21,Jason,Harding,smithgarrett@gmail.com,Finance,54100.54,31-08-2022,60,,,,,,,,,,,,
22,Karen,Brown,mcdonaldchristina@haynes.com,Marketing,78103.24,07-02-2020,59,,,,,,,,,,,,
23,David,Webster,zacharylee@thomas-sharp.com,Marketing,35390.49,21-06-2022,59,,,,,,,,,,,,
24,Margaret,Barry,isaacfischer@hotmail.com,Marketing,58500.34,17-11-2024,59,,,,,,,,,,,,
25,Monica,Olson,zparrish@hotmail.com,IT,75404.05,02-01-2021,59,,,,,,,,,,,,
26,Eduardo,Smith,rossjared@montes.com,IT,96756.21,31-03-2021,59,,,,,,,,,,,,
27,Carrie,Olson,isabellahall@gmail.com,Marketing,72155.31,31-05-2021,59,,,,,,,,,,,,
28,Bradley,Flowers,david06@johnson-simon.com,HR,71647.02,20-01-2021,59,,,,,,,,,,,,
29,Derek,Dunlap,zhudson@frank.org,Finance,87172.65,04-05-2020,59,,,,,,,,,,,,
30,Christopher,Wilson,nmurray@rivera.biz,HR,85120.78,06-04-2021,59,,,,,,,,,,,,
31,Kristina,Banks,gutierrezjeffrey@gmail.com,Operations,91453.39,14-09-2021,59,,,,,,,,,,,,
